SentenceLength
26
59
21
24
15
31
24
16
27
46
37
19
15
29
25
56
26
56
11
24
22
42
29
31
38
27
23
39
49
43
27
26
9
16
51
11
14
45
14
14
15
16
22
18
50
17
14
24
31
9
16
24
19
21
8
10
45
8
14
19
7
50
16
28
22
25
38
31
10
12
15
27
24
20
38
36
23
39
22
22
17
33
17
43
31
34
35
24
24
20
10
35
38
11
17
33
25
16
8
20
29
22
5
39
2
23
2
7
40
28
45
45
2
8
2
5
2
7
22
9
8
7
9
3
30
25
31
2
2
11
13
26
17
16
25
4
22
12
24
22
18
16
24
4
9
16
24
18
10
15
20
18
19
10
10
24
8
18
18
3
18
16
15
23
8
21
21
26
14
43
6
9
10
8
27
19
15
17
4
11
11
13
7
12
13
7
14
22
12
5
6
14
11
8
17
10
31
30
31
30
15
21
20
13
29
15
16
7
14
15
36
18
28
31
7
14
20
11
4
14
29
31
11
7
12
12
11
17
9
6
18
19
10
9
17
5
6
16
12
14
17
10
12
5
16
24
33
42
10
10
15
24
14
16
20
2
24
30
21
18
27
27
31
17
24
12
7
15
48
17
28
22
43
37
14
25
20
38
64
10
16
40
31
26
25
7
38
25
13
30
26
10
7
8
17
14
12
9
19
24
12
35
72
14
10
19
41
14
36
27
64
10
27
34
26
45
13
17
18
9
24
20
14
37
19
11
6
13
10
10
29
35
28
20
22
9
36
20
20
17
55
8
20
11
26
21
20
37
18
19
15
18
17
18
11
14
5
6
4
39
23
8
56
18
10
12
10
18
10
23
8
15
59
22
12
17
24
43
13
27
15
22
7
5
34
25
9
22
28
28
34
22
16
4
21
20
18
28
19
19
9
17
18
14
20
20
46
13
21
25
30
19
33
46
7
17
12
8
62
34
14
16
2
7
9
10
15
41
31
25
24
33
12
9
12
14
6
15
24
40
62
31
19
54
25
27
38
7
45
33
17
19
11
17
23
5
24
13
34
16
16
24
17
27
24
4
24
9
27
17
8
29
43
40
20
7
11
19
9
27
15
9
3
25
32
15
11
42
18
18
18
4
21
72
18
18
5
17
10
18
14
13
3
23
13
24
39
17
30
36
26
56
32
10
16
25
5
8
35
5
9
37
6
41
20
14
52
16
32
51
40
15
59
58
27
55
15
28
28
15
15
7
10
25
53
72
25
26
52
18
8
43
12
25
29
47
21
28
12
33
19
24
23
42
24
37
37
16
22
19
49
5
26
7
11
51
4
13
27
9
39
25
21
17
69
7
37
25
47
56
13
19
43
11
34
21
36
11
19
19
19
24
8
22
19
11
7
12
5
34
38
16
20
21
43
32
20
12
12
37
32
10
22
16
30
24
33
19
6
71
7
23
12
53
17
5
8
9
30
4
5
11
4
37
8
12
32
67
9
15
16
5
3
18
14
9
9
36
29
9
33
2
27
23
27
13
23
33
65
41
51
13
2
26
10
16
39
51
17
40
11
11
23
22
10
29
29
26
28
36
19
26
50
32
45
7
49
10
18
26
24
