Subtype,Count
NNC,306
CCT,147
NNP,133
PMP,97
CCB,93
JJD,77
PRS,77
DTC,69
RBI,68
PMC,63
PMS,53
VBW,48
DTCP,38
PRI,30
NNPA,30
VBTS,29
CCA,27
CCR,24
VBS,22
PRO,21
VBTR,20
CDB,20
RBW,18
VBH,17
RBF,17
DTP,14
PMQ,13
PRP,13
PRSP,13
PRQ,11
VBTF,11
NNCA,9
RBK,8
RBQ,8
RBD,8
JJN,6
RBM,6
JJCC,5
RBT,5
RBL,5
PRL,5
VBN,4
JJCS,4
RBR,3
CCU,2
JJC,2
PRC,1
RBS,1
EMOJI,1
